X,Y,Z
15144.689,15770.742,120.225
15846.835,26321.332,-29.682
16229.254,16303.096,21.452
4803.415,15360.963,-0.651
5665.997,20011.107,-43.362
6915.102,16888.883,-47.636
8921.141,20870.598,169.902
9526.968,17788.604,-44.788
9428.986,20557.238,-32.744
10041.726,20030.842,-35.867
10125.038,24443.939,-35.175
10802.375,16462.076,7.271
10711.881,20718.988,-6.931
13251.043,22273.299,64.945
14028.698,25030.717,28.783
15089.086,17679.564,-40.508
16026.854,26384.354,6.659
16570.146,16438.844,42.772
16753.826,25393.439,-2.586
4820.909,15375.326,-0.718
6510.044,20665.611,-28.39
7763.462,16623.625,58.292
7717.752,20405.74,161.264
8146.202,23577.289,1.964
10281.99,13879.716,-39.383
10316.007,19189.441,26.445
11892.78,19157.812,-10.732
12548.406,16760.953,123.832
13279.526,22242.166,-5.399
14009.45,26894.297,58.427
15511.884,19928.102,659.542
15833.997,26352.895,69.235
16322.357,27246.74,121.426
4158.307,15441.507,76.512
5749.311,18723.83,-33.793
7690.985,15469.51,-23.512
7714.827,20412.443,28.459
7773.441,16625.57,172.36
9827.981,21632.691,45.219
10417.203,19183.879,64.728
11060.562,24529.879,18.907
11264.292,17773.82,163.101
13270.864,22262.309,70.025
14747.758,16084.119,14.703
14968.796,23379.1,91.613
15508.102,19939.051,152.878
15775.06,26344.531,249.72
16255.697,18230.457,36.053
16329.489,27267.301,53.462
16509.914,15779.146,34.367
4469.142,16906.518,0.917
6546.707,17116.293,53.84
7884.75,19045.555,201.658
9148.543,25137.881,53.973
12045.609,14485.349,138.462
13164.606,20129.258,63.942
13740.454,26395.389,80.428
14387.335,17452.34,83.303
14456.984,23097.01,-37.367
15096.375,20943.402,-16.044
16194.921,18174.643,43.755
16146.415,23815.461,50.556
16528.914,21978.072,25.52
6194.972,19940.602,-39.765
10038.722,22165.85,63.249
10693.898,20726.244,261.447
11932.07,18395.959,60.748
12059.309,14487.201,100.715
13038.337,27362.037,455.98
13756.301,26373.779,66.686
13963.326,24377.523,44.241
16057.37,26346.188,-45.376
5209.606,14205.174,75.316
7489.348,18154.094,-17.276
8264.979,18795.793,99.378
8203.809,21574.141,104.629
9331.901,18107.566,369.7
9776.124,13816.074,71.113
